date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2023-03-14,13.0316,25.08157,42.68803,19.78099,26.57172,13.27867,96.70132,63.24147,83.93094,89.78284,100,85.44754,68.75121,57.37196,76.58141,100,18.48137,63.90904,100,90.22656,100,85.77742,22.4852,57.53938,15.1923,63.6,78.82286,83.82978,13.55932,82.96075,100,89.36567,74.56588,100,50.75996,89.90112,98.20451,99.64788
2023-03-15,11.12661,16.70127,41.48652,12.72432,24.88865,6.20841,94.10221,58.66417,67.29747,72.70202,85.48589,69.20569,60.27105,54.07918,58.94181,65.81157,17.04871,56.84567,66.22077,67.25899,76.17702,79.99196,19.23076,44.78619,8.84615,60.8,64.78046,89.07801,13.07804,72.75184,63.70786,72.73009,70.88866,84.73233,42.72058,72.85781,71.28932,100
2023-03-16,9.02141,14.58024,36.37437,12.93724,23.02433,7.36365,77.4485,64.22232,70.70606,70.43787,97.27075,64.96739,57.5605,51.78585,61.7825,82.37608,19.77077,62.6028,75.2473,61.55042,83.49026,74.92969,10.65088,43.36084,6.92307,46,66.02952,95.46099,13.62209,65.57801,67.97752,78.29601,72.62512,90.84586,45.08173,75.82391,79.17236,87.20657
2023-03-17,6.98295,9.80421,28.78299,5.26209,21.10305,3.54691,52.7157,47.26763,49.18105,42.70558,51.3532,60.81802,47.93804,43.02316,41.37055,51.90314,14.18338,37.25205,47.14478,51.53265,43.97363,70.65086,13.01775,30.90772,6.15384,51.6,45.66616,83.26241,10.06486,52.46353,47.41573,72.51243,69.15219,64.67734,36.65041,50.65913,41.86046,68.48591
2023-03-18,5.62397,8.60278,32.5374,4.87681,21.30502,3.7198,42.0958,43.20411,45.23019,40.06407,43.11978,66.80497,54.94675,58.54962,41.21436,51.23723,10.74498,43.05757,50.2473,50.33318,40.23854,80.15267,5.02958,28.65716,3.46153,29.2,46.99091,58.29787,9.41619,59.7725,46.23595,75.68407,63.32992,78.84522,39.93882,43.97363,38.73119,71.7723
2023-03-19,7.04968,10.05636,39.15335,8.74987,23.9306,4.54497,56.74795,53.01261,55.72155,48.19508,54.96174,81.89093,83.17521,89.31587,52.57711,60.03026,13.61031,50.41122,59.88084,61.86139,51.88323,91.42225,8.87573,31.65791,3.07692,36,64.28841,62.12765,15.96568,67.50943,52.30337,78.73134,72.52298,84.81319,46.98403,63.27683,47.93091,77.75821
2023-03-20,7.92331,10.53099,36.72746,11.57862,29.12998,5.54827,78.7942,56.98271,62.01859,52.59522,69.63571,81.26852,71.55856,69.02456,55.23233,56.53424,18.19484,49.25012,63.29811,58.37405,57.09353,85.95821,15.38461,54.31357,7.88461,49.6,62.18773,91.91489,17.99539,58.69699,53.3146,79.78855,82.02247,75.65906,43.65739,67.86723,52.87277,81.74882
2023-03-21,9.28835,11.74725,43.03477,11.88279,30.91662,6.54634,81.27186,58.15039,63.55688,48.88572,71.12024,76.94131,58.62536,61.18385,52.26474,52.99281,20.34383,46.44412,57.44154,54.08707,53.26428,86.27963,8.87573,52.21305,7.6923,69.19999,67.31642,87.80141,19.75308,65.50481,46.85393,78.949,73.0337,73.66973,40.41678,66.6902,51.16279,84.74178
2023-03-22,23.21786,20.14239,42.24096,22.20419,32.44432,11.69382,78.87193,61.13965,64.05489,56.51833,83.77298,72.16953,55.41142,57.91431,57.46778,63.56413,24.06876,55.5878,61.46582,53.22079,54.2059,82.42265,22.78106,58.58964,13.07692,52.4,73.06964,83.54609,26.88847,67.7403,47.58426,70.67786,73.74872,76.71033,44.25963,74.15254,64.70588,86.03286
2023-03-23,48.54092,25.63037,43.53646,16.35405,33.09166,14.14313,65.92013,59.55161,63.65648,43.93734,63.13806,74.39241,59.16747,49.77918,43.57672,53.83276,27.50716,39.81615,50.82059,50.62194,50.87884,79.99196,48.22485,60.31507,35.38461,74.4,63.73959,86.09929,29.33668,67.31234,37.41573,78.3582,74.56588,72.86107,40.35943,62.05273,44.78454,77.75821
